documento_id,classificacao_id,nome_arquivo,caminho_relativo,sha256,tipo_documental,vezes_citado,evidencia_ids
DOC-C01-004,C01,02 - Estratégia Editorial e Artigo Fundador.md,RISCO-CONITIVO/Risco_Cognitivo_Hub_Editorial_v1.3/01_DOCUMENTOS/02 - Estratégia Editorial e Artigo Fundador.md,2839090886402d61ecd2e4e36af0b0784d6c7007608c5f433bdf58c9e9adf83f,Estratégia e arquitetura,1,EV-51a2a417ea
DOC-C01-005,C01,03 - Framework de Risco Cognitivo e Prior Art.md,RISCO-CONITIVO/Risco_Cognitivo_Hub_Editorial_v1.3/01_DOCUMENTOS/03 - Framework de Risco Cognitivo e Prior Art.md,50209f47aeed6f91f58cbf624f2e0f863a39a943225929764f95f10d50711b7d,Evidência e pesquisa,12,EV-976e759c3b;EV-6c03b1000c;EV-7b1eaab9ad;EV-7cf257a1f6;EV-da200e8c27;EV-227def7ce5;EV-5878d10342;EV-b5b513261b;EV-c06ba61b34;EV-98299e07d5;EV-597a8c63f1;EV-68ddd607f3
DOC-C01-006,C01,04 - Marca Editorial Risco Cognitivo.md,RISCO-CONITIVO/Risco_Cognitivo_Hub_Editorial_v1.3/01_DOCUMENTOS/04 - Marca Editorial Risco Cognitivo.md,1598e12ccbb5b2884a24222193f02a0e25830ef555c78433c671f8d700491fbd,Estratégia e arquitetura,2,EV-864c677b05;EV-4ceeec2e1a
DOC-C02-004,C02,EXECUTAR_ENTREGAVEIS_GATES_POR_AREA.csv,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/EXECUTAR_ENTREGAVEIS_GATES_POR_AREA.csv,1345a5507c9cba88ecf8351d97d507b8c03f6f0a23cc232a085aa8dcbaa51938,Base de dados e planilha,4,EV-d95ff2504e;EV-2a687a7d33;EV-8fdf4e01d3;EV-bf62c50f8f
DOC-C02-014,C02,RC-P01_PROJECT_BRIEF.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/01_PROJECTS/P01_LANCAMENTO_BLOG/RC-P01_PROJECT_BRIEF.txt,5d477181107e177208fc73d0bdf3bec07877b9d06412fe0adbab803545982c65,Handoff e brief,7,EV-3718a6adf1;EV-9fff03638b;EV-9661c13eee;EV-36ecd5dd68;EV-e3e96d8028;EV-c42e2133bb;EV-298ca3739a
DOC-C02-015,C02,RC-P02-VAL01_VALIDACAO.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/01_PROJECTS/P02_FRAMEWORK_CERM/RC-P02-VAL01_VALIDACAO.txt,38f18771e7490d79913b090df4beade883ed8d1f9986e157cda63d3ba356e6ce,Medição e validação,4,EV-69f96afd6b;EV-37a2ed6d65;EV-fe1951bcbe;EV-b6cc37aa22
DOC-C02-016,C02,RC-P02_FRAMEWORK_V0_1.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/01_PROJECTS/P02_FRAMEWORK_CERM/RC-P02_FRAMEWORK_V0_1.txt,c02413e286e9332bffdf481938dab4fd8a92305e5047478fa44182f310cc3939,Estratégia e arquitetura,7,EV-f5dfa2ab27;EV-e3e3b74404;EV-2381b25f07;EV-76ef63fa93;EV-0559824216;EV-d41cb56318;EV-e862e36094
DOC-C02-017,C02,RC-P03_SITE_CMS_BRIEF.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/01_PROJECTS/P03_SITE_CMS/RC-P03_SITE_CMS_BRIEF.txt,a9d6e4108a6b6a085c19c3ea2a002a7518964bf8aee20953e88529868acb72c2,Handoff e brief,6,EV-ebf7dd1990;EV-f77a1b9d17;EV-51cc07f648;EV-5612312d73;EV-b655fc9f07;EV-3a92ed7b27
DOC-C02-021,C02,RC-R01_EVIDENCIAS_TDAH.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/03_RESOURCES/R01_TDAH_FUNCOES_EXECUTIVAS/RC-R01_EVIDENCIAS_TDAH.txt,3300f8903921e64dffa968cbf1d712d0386bd7685eb907c40e6ef3b2cf7ea877,Evidência e pesquisa,4,EV-161a0a642b;EV-c571b97b66;EV-8a3c42b08b;EV-0b17a4aaa5
DOC-C02-022,C02,RC-R02_EVIDENCIAS_RISCO_PM.txt,RISCO-CONITIVO/RISCO-COGNITIVO  Fundacap /Riscognitivo/RISCO_COGNITIVO_OS_PARA/03_RESOURCES/R02_RISCO_GESTAO_PROJETOS/RC-R02_EVIDENCIAS_RISCO_PM.txt,d2808db7f8bb1e7c1cbdc5fd4e30bca8201bf26f841fbfca2a803990da971967,Evidência e pesquisa,4,EV-027ebf9edf;EV-43055a96a9;EV-692e07a753;EV-cd777b07aa
