documento_id,classificacao_id,nome_arquivo,eco_unit,frameworks_candidatos,campos_candidatos,valor_esperado,prioridade_leitura,justificativa
DOC-C01-004,C01,02 - Estratégia Editorial e Artigo Fundador.md,ECO-02,SA-13;SA-11B,11.1;11.2;11.3;11.5,alto,1,"'Estrategia Editorial e Artigo Fundador' com secoes Artigo 01 fundador, Lancamento editorial e Autogerenciamento de riscos cognitivos."
DOC-C01-005,C01,03 - Framework de Risco Cognitivo e Prior Art.md,ECO-03,SA-03A;SA-05;SA-11A,1.1;1.13;14.1,alto,1,"'Framework de Risco Cognitivo e Prior Art' com Principio orientador, Demanda social e posicionamento e A demanda alem da nao execucao."
DOC-C02-004,C02,EXECUTAR_ENTREGAVEIS_GATES_POR_AREA.csv,TRANSVERSAL,SA-01;SA-02;SA-03A;SA-03B;SA-03C;SA-03D;SA-04A;SA-04B;SA-04C;SA-04D;SA-05;SA-06A;SA-06B;SA-07A;SA-07B;SA-08A/B/C;SA-09A/B/C/D;SA-10A;SA-10B;SA-11A;SA-11B;SA-12;SA-13,13.1;14.1,alto,1,"Colunas area, stream, gate, sas_id, deliverable_id e title: e a tabela que amarra entregaveis e gates aos IDs SAS, ou seja o indice dos frameworks."
DOC-C02-016,C02,RC-P02_FRAMEWORK_V0_1.txt,ECO-03,SA-07B;SA-11B,1.3;2.3;14.1,alto,1,"RC-P02 'Cognitive Execution Risk Management - v0.1', EM_DESENVOLVIMENTO: versao nomeada do framework proprietario."
DOC-C02-031,C02,RISCO_COGNITIVO_RESEARCH_MAP.txt,ECO-03,SA-05;SA-11A,1.1;14.1;14.2,alto,1,'MAPA DE PESQUISA' v2026-08-28 com TESE EM INVESTIGACAO: vulnerabilidades executivas como fontes endogenas de risco; nucleo conceitual.
DOC-C02-039,C02,risco-cognitivo-bmc-gantt.html,TRANSVERSAL,SA-06B;SA-07A;SA-08A/B/C;SA-11A;SA-11B,1.1;1.3;1.4;1.9,alto,1,'Business Canvas + Gantt' do Risco Cognitivo: unico artefato do bloco que combina modelo de negocio completo com linha de tempo.
DOC-C02-042,C02,texto 2.txt,TRANSVERSAL,SA-11A;SA-11B;SA-13,1.1;1.3;11.1;11.3,alto,1,"5W2H que fixa a ordem categoria intelectual antes do EXECUTAR: artigo fundador, campanha, sinais de audiencia; sequenciamento estrategico."
DOC-C02-043,C02,texto.txt,ECO-03,SA-05;SA-11A;SA-11B,1.1;1.3;2.1,alto,1,'Visao central' com a tese-mae de riscos cognitivos endogenos e o nome tecnico provisorio Cognitive Execution Risk Management.
DOC-C05-001,C05,Ecossistema .html,TRANSVERSAL,SA-06A;SA-06B;SA-07A;SA-07B,14.1;14.2,alto,1,Titulo 'Workbook Reader Integral' com WORKBOOK INDEX/ORDEM DAS FONTES listando Sas-06 e Sas-07: agregador integral das fontes SAS.
DOC-C06-001,C06,gtm-launch-report.html,ECO-02,SA-13;SA-11B,1.4;1.5;11.2;11.3,alto,1,"'GTM Launch Deck 07/09' com Plano, Roadmap, Cronograma, objetivo operacional do GTM e unidade de trabalho Content Package."
DOC-C07-002,C07,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE_PAISAGEM.html,ECO-03,SA-04C;SA-07B,1.1;14.1;14.2,alto,1,"One page da Matriz Gestao de Projetos x TDAH: cruzamento funcoes de gestao x funcoes executivas, nucleo do framework proprietario."
DOC-C07-003,C07,MATRIZ_GESTAO_PROJETOS_X_TDAH_EXTRAIDA.csv,ECO-03,SA-04C;SA-07A;SA-07B,1.1;14.1;14.2;14.3,alto,1,"CSV extraido com colunas ID, funcoes fundamentais de gestao de projetos, funcoes executivas: base tabular legivel por maquina da matriz."
DOC-C07-004,C07,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE.xlsx,ECO-03,SA-04C;SA-07B,1.1;14.1;14.2;14.4,alto,1,"XLSX com abas ONE_PAGE, MATRIZ_COMPLETA, SCHEMA e NOTAS_FONTE: versao completa da matriz mais rastro de procedencia das fontes."
DOC-C07-007,C07,base_evidencias_tdah_adulto_WAREHOUSE.json,TRANSVERSAL,SA-01;SA-03B;SA-03C;SA-04D,1.14;14.1;14.2;14.3;14.4,alto,1,"Warehouse JSON de evidencias TDAH adulto com sha256, columns, row_count, records e evidencia_id: base quantitativa versionada do bloco."
DOC-C07-009,C07,dashboard_sintese_tdah_694_V3_FINAL_LIGHT__REC-001102.html,TRANSVERSAL,SA-03B;SA-03C;SA-03D;SA-04D;SA-05;SA-09A;SA-09B;SA-09C;SA-09D;SA-10A;SA-11A,1.1;1.3;1.13;14.1;14.4,alto,1,"Sintese V3 Final declara ""Evidencias, mercado e decisoes do EXECUTAR"" e traz Posicionamento resultante, Sete lacunas e Composicao da base."
DOC-C08-007,C08,05-CRITERIOS-DE-LANCAMENTO.md,TRANSVERSAL,SA-13,2.6;11.2;13.1,alto,1,"Criterios de lancamento com marcos datados (05/09 congelamento, 06/09, 07/09): gates e criterios de conclusao do go-to-market."
DOC-C09-004,C09,01-APLICATIVO-VISAO.md,ECO-01,SA-11A;SA-11B;SA-12,1.1;1.3;2.1;2.3;2.4,alto,1,"Visao do Aplicativo Executar com ""Mensagem central"" e ""Para fechar"": declaracao de proposta de valor e pendencias do produto SAS."
DOC-C09-006,C09,02-SERVICOS-VISAO.md,ECO-07,SA-06A;SA-06B;SA-11B,1.1;1.3;2.1,alto,1,"Visao do Estudio Executar com ""Mensagem central"", ""Modelo"" e ""Para fechar"": posicionamento e modelo de entrega do servico de consultoria."
DOC-C09-013,C09,04-CURSO-VISAO.md,ECO-05,SA-06A;SA-11B;SA-13,1.3;2.1;2.3;2.5,alto,1,"Visao do Curso ""Gerenciando o TDAH Adulto"" com ""Estrutura"" e ""Para fechar no lancamento"": oferta nomeada, com escopo e gate de lancamento."
DOC-C10-003,C10,01-ARQUITETURA-EDITORIAL.md,ECO-02,SA-04C;SA-11B,11.1;11.4;11.6,alto,1,"Arquitetura editorial unica com ""Categoria"", ""Tres pilares"", ""Quatro movimentos"" e ""Arco de cada peca"": espinha da linha editorial e das trilhas."
DOC-C14-007,C14,PUB-005-AGENDA-MESTRA.md,TRANSVERSAL,SA-13,11.2;11.3;10.4;13.5,alto,1,PUB-005 'Agenda mestra': consolida a agenda de distribuicao dos canais; candidato natural a calendario editorial e cadencia.
DOC-C15-004,C15,D01-25-08-CENTRAL-DE-LANCAMENTO.md,TRANSVERSAL,SA-13,10.1;10.5;13.1,alto,1,"D01 25/08 'Central de lancamento pronta' com Mudanca de estado, Resultado do dia e Fila unica do dia: molde real do ciclo diario."
DOC-C15-011,C15,SEMANA-01-25-31.md,TRANSVERSAL,,10.2;10.5;13.5,alto,1,SEMANA-01 '25 a 31 de agosto' com secao Resultado: define o resultado esperado do primeiro ciclo semanal.
