decisao_id,contexto,decisao,alternativas,justificativa,data,impacto,origem
DEC-ff1bcb4e65,"§03-T1 marca 9.4 como TBD, mas §05 do mesmo bloco enumera cinco dependências estratégicas materiais.",em aberto,,Formalizar o grafo em vez de tratar como ausência de dado.,2026-08-31,9.4,maestro
DEC-84b2314af2,"§03-T1 marca 10.1 como TBD, mas §05-Cronograma traz oito marcos datados entre 07/09/2026 e 10/01/2027.",em aberto,,Eleger o marco #1 — candidato: Gate de Revisão de 24/10/2026.,2026-08-31,10.1,maestro
DEC-cdcde76419,"O valor real é ""Ciclo Zero"", que não consta das opções previstas no formulário original (Editorial / Desenvolvimento / Governança).",em aberto,,Ampliar o domínio de valores do campo.,2026-08-31,10.2,maestro
DEC-bb32e9e562,OUT-33 exige 34 IDs do XLS Entrypoint; o formulário fundido tem 122 campos.,"Decisão operacional do Maestro, na ausência de instrução contrária: preencher os 122 campos do formulário fundido, que é superconjunto dos 34 IDs exigidos por OUT-33 (1.1–1.12, 8.1–8.5, 9.1–9.4, 10.1–10.4, 12.1–12.3, 14.1–14.3, 16.1–16.3). Assim nenhum ID obrigatório de OUT-33 fica de fora (OUT-69) e o excedente permanece rastreável. Reversível se o owner pedir escopo estrito.",,Decisão do owner sobre o escopo de preenchimento.,2026-08-31,escopo INS-01,maestro
DEC-760d30c732,"O cronograma de envio (dias 1–6, 31/08 a 05/09/2026) coexiste com o roadmap do projeto (07/09/2026 a 10/01/2027). São eixos distintos: preenchimento documental vs. execução do ecossistema.",em aberto,,Nenhuma — registrado para evitar leitura equivocada de conflito de datas.,2026-08-31,calendário,maestro
DEC-4270e3477c,Ha duas posicoes incompativeis sobre dimensionamento de mercado dentro do mesmo acervo.,NAO ARBITRADO — conflito preservado,"Versao A (QT-0131/132/133): TAM R$5,07 bi, SAM R$357,3 mi, SOM R$3,26 mi em 3 anos. Versao B (dashboard V3 Final): 'Contexto de mercado. Nao equivale a TAM do EXECUTAR' e 'Strict VERIFIED 0'.",Registrar formalmente que a V3 supera a estimativa herdada e marcar QT-0131/132/133 como legado nao verificado no proprio warehouse.,2026-08-31,ECO-01/SA-03B,strategic_analysis
DEC-445c3d3510,A meta herdada de 500.000 inscritos contradiz a regra vigente de nao fixar metas sem baseline.,NAO ARBITRADO — conflito preservado,QT-0135: 'Meta de inscritos 500000.0'. DOC-C02-043 (Objetivo SMART): 'Nao estabelecer ainda metas arbitrarias de seguidores ou leads sem baseline.',"Aposentar a meta de 500 mil ate a campanha D1-D14 gerar baseline de visualizacoes, retencao, inscricoes e downloads.",2026-08-31,ECO-02/SA-03D,strategic_analysis
DEC-771e78fe33,Ha tensao entre a segmentacao clinica do editorial e a segmentacao comportamental do produto.,NAO ARBITRADO — conflito preservado,Editorial (QL-0018): publico e 'adultos com TDAH'. Produto (ICP-01): 'diagnostico nao define o ICP comercial inicial'. As duas convivem no mesmo funil de lancamento de 07/09.,"Decidir e registrar como o trafego editorial (TDAH) converte para uma oferta que nao usa TDAH como criterio, evitando promessa implicita de tratamento.",2026-08-31,ECO-01/SA-04A,strategic_analysis
DEC-e8aac19797,Ha conflito registrado sobre a alocacao da receita de AdSense ao braco social.,NAO ARBITRADO — conflito preservado,"QT-0152: 'Alocacao de AdSense inicialmente cogitada 70,0% da receita'; QT-0153: 'Alocacao inicial recomendada 10,0%'; QL-0016: '70% ... e considerada incompativel com reinvestimento e consistencia operacional'.","Registrar formalmente a decisao (10%) e o motivo, para que a versao de 70% nao volte por copia de material antigo.",2026-08-31,ECO-02/SA-06A,strategic_analysis
DEC-4f498c61b9,"Ha duas arquiteturas editoriais concorrentes no acervo, com categorias diferentes.",NAO ARBITRADO — conflito preservado,"Versao A (DOC-C02-043/DOC-C01-005): territorio 'Risco Cognitivo', mais amplo que TDAH. Versao B (DOC-C10-003): 'Arquitetura editorial unica - Categoria: TDAH adulto aplicado ao trabalho, a gestao e a execucao', com tres pilares e 4E.",Decidir se sao duas publicacoes (Risco Cognitivo e Biblioteca EXECUTAR) ou uma; hoje o lancamento de 07/09 usa a Versao B e o pacote Risco Cognitivo usa a Versao A.,2026-08-31,ECO-02/SA-11A,strategic_analysis
DEC-b1f7cf8210,Ha conflito direto entre a sequencia editorial (produto por ultimo) e o GTM de 07/09 (produto e ofertas no dia um).,NAO ARBITRADO — conflito preservado,"DOC-C02-042/043: 'CTA inicial: ler, explorar, assinar e baixar... o EXECUTAR fica para uma campanha posterior'. DOC-C06-001/DOC-C08-011: lancamento em 07/09 com CTA-001 App, CTA-004 E-book, CTA-005 Curso, CTA-006 Studio, CTA-009 Office Kit e commerce em Hotmart configurado em D3.","Resolver explicitamente: ou sao dois lancamentos com marcas separadas (Risco Cognitivo editorial e EXECUTAR comercial), ou a sequencia de categoria foi abandonada e isso precisa ser registrado como decisao.",2026-08-31,ECO-01/SA-11B,strategic_analysis
DEC-b39dde0534,Ha conflito entre a demonstracao planejada com QR e a decisao tecnica que substituiu QR por reconhecimento de forma.,NAO ARBITRADO — conflito preservado,DOC-C11-008 (Cena B): 'Usar QR/atalho para sair do objeto fisico e abrir o contexto correto'. DOC-C04-002: 'PR #75 substituiu QR impresso pelos 5 simbolos administrativos reconhecidos diretamente por forma na imagem da camera'.,Atualizar o roteiro da Demonstracao 03 antes da gravacao de 02/09; gravar QR mostraria funcionalidade que nao existe mais.,2026-08-31,ECO-01/SA-12,strategic_analysis
DEC-ce0bea302c,Ha conflito sobre a extensao do artigo fundador entre dois documentos do mesmo pacote.,NAO ARBITRADO — conflito preservado,DOC-C01-004 (Execute): 'Escreva primeiro aproximadamente 2.500-3.500 palavras'. DOC-C02-043 e DOC-C02-042: 'Meta atual: 1.200-1.800 palavras e 14-18 paragrafos; a proposta anterior de cerca de 3.000 palavras foi descartada' e RC-040 registra a revisao.,Marcar DOC-C01-004 como versao superada nesse ponto especifico; sem isso o redator pode escrever o dobro do necessario.,2026-08-31,ECO-02/SA-13,strategic_analysis
