area_id,area,field_id,title,origem,status,valor,tipo_informacao,confianca,eco_unit,documento_ids,evidencia,lacuna,proxima_acao
1,NEGÓCIO & GTM,1.1,Problema central,formulario_original,preenchido,"O problema aparece em três camadas distintas, por unidade. (a) ECO-01 App EXECUTAR — problema operacional: “Paralisia por excesso, dificuldade de iniciação das tarefas, não linearidade de execução, troca de contexto cognitivo, retrabalho por não respeitar cadeia única de valor e dependências, memória de trabalho limitada, ausência de processos padronizados e múltiplas fontes de execução e plataformas”. A decisão PROD-03 refina: a dor central é “dificuldade de transformar intenção em comportamento organizado ao longo do tempo”, evitando o posicionamento genérico de “produtividade”; PROD-06 define o problema observável prioritário como a combinação planejamento + memória + tempo + procrastinação. (b) ECO-03 Framework/CERM — problema conceitual: “A distância entre intenção e execução diante de vulnerabilidades cognitivas e demandas reais”; o documento adverte explicitamente para NÃO usar “não execução” como problema principal, por ser estreito demais. (c) ECO-02 Blog Risco Cognitivo — problema estratégico do lançamento editorial: “Apresentar o EXECUTAR cedo demais pode reduzir a credibilidade da investigação e impedir distinguir interesse genuíno pelo problema de interesse no produto”.",fato_interno,alta,"TRANSVERSAL (detalhado por ECO-01, ECO-03 e ECO-02)","['DOC-C05-001', 'DOC-C07-009', 'DOC-C01-005', 'DOC-C02-039', 'DOC-C07-002', 'DOC-C07-010']","DOC-C05-001 (seção “Corpo”, linha Problema): “Paralisia por excesso, dificuldade de iniciação das tarefas, não linearidade de execução, troca de contexto cognitivo, retrabalho por não respeitar cadeia única de valor e dependências, memória de trabalho limitada, ausência de processos padronizados e múltiplas fontes de execução e plataformas.” Perspectiva do usuário no mesmo documento: “Perco dinheiro e oportunidades por atrasos e desorganização. […] O momento de maior ansiedade e aflição são os primeiros 30 minutos iniciais, pois não sei onde estava ontem, o que devo fazer agora e como sei que terminei.” | DOC-C07-009 (decisão PROD-03): “Definir a dor central como dificuldade de transformar intenção em comportamento organizado ao longo do tempo, evitando o posicionamento genérico de ‘produtividade’.” | DOC-C01-005: “Eu evitaria usar não execução como problema principal. É estreito demais.” e “A distância entre intenção e execução diante de vulnerabilidades cognitivas e demandas reais.” | DOC-C02-039 (BMC, célula Problema): “Apresentar o EXECUTAR cedo demais pode reduzir a credibilidade da investigação e impedir distinguir interesse genuíno pelo problema de interesse no produto.”",,"Registrar no formulário um enunciado de problema por unidade, em vez de fundir as três camadas num único texto."
1,NEGÓCIO & GTM,1.2,Público-alvo / ICP,formulario_original,conflito,"CONFLITO ENTRE DOCUMENTOS. Versão A (DOC-C05-001, workbook Sas-06, seção Público): “Homens, adultos, neurodivergentes, autônomos, na faixa dos 25–35 anos, recém-diagnosticados, que gerenciam múltiplos processos e projetos ao mesmo tempo. Têm consciência básica de terminologia e funções executivas, já utilizaram e abandonaram outros aplicativos por não manterem o uso e rejeitam alta complexidade de configuração.” Versão B (DOC-C07-009, decisão ICP-01 / achado ICP-HYP-01, 15/08/2026): “Profissional independente/solo brasileiro, aproximadamente 25–44 anos, multiprojeto, que perde contexto, tem dificuldade recorrente para escolher próxima ação, já tentou ferramentas de produtividade e controla/influencia a própria compra”, com ressalva explícita de que diagnóstico de TDAH NÃO é critério de entrada. As duas versões divergem em faixa etária (25–35 × 25–44), gênero (homens × não especificado) e no papel da neurodivergência/diagnóstico como critério de ICP. Unidades com público próprio já declarado: ECO-07 Estúdio — “Profissionais solo, autônomos e pequenos negócios com trabalho, informação, clientes e projetos dispersos”; ECO-02 Blog — “Leitores interessados em funções executivas, neurodivergência, trabalho, projetos e risco; especialistas entram como crítica externa, não como endosso.”",decisao,alta,TRANSVERSAL — conflito em ECO-01; ECO-07 e ECO-02 têm públicos próprios,"['DOC-C05-001', 'DOC-C07-009', 'DOC-C02-039']","DOC-C05-001: “Homens, adultos, neurodivergentes, autônomos, na faixa dos 25–35 anos, recém-diagnosticados…” | DOC-C07-009 (ICP-01, status DECIDED_FOR_TEST, confiança MÉDIA-ALTA): “Iniciar testes por profissionais independentes multiprojeto, sem exigir diagnóstico de TDAH”; e “O que não é critério de entrada: Diagnóstico de TDAH. Diagnóstico/autodeclaração deve ser variável opcional posterior, especialmente porque dados de saúde são sensíveis e não são necessários para o core funcional.” | DOC-C05-001 (SSOT Executar Studio, item 02 Público): “Profissionais solo, autônomos e pequenos negócios com trabalho, informação, clientes e projetos dispersos.” | DOC-C02-039 (BMC, Público/validação): “Leitores interessados em funções executivas, neurodivergência, trabalho, projetos e risco.”",Não há registro de qual definição prevalece nem data de supersessão. DOC-C07-009 é de 15/08/2026 e classifica o ICP como hipótese de classe E a validar; DOC-C05-001 não traz data própria de decisão. Faltaria um ADR comercial ou nota de decisão datada.,Decidir explicitamente qual ICP vale para o lançamento de 07/09 e arquivar a versão superada com data e justificativa.
1,NEGÓCIO & GTM,1.3,Proposta de valor,formulario_original,preenchido,"Proposta de valor por unidade. ECO-01 App: “Criar uma situação em que a execução do que foi planejado aconteça com o mínimo possível de carga administrativa e cognitiva sobre o usuário. O sistema assume parte da estrutura, organização e priorização”; promessa: “Zero configuração, mínimo de personalização, uso mínimo do app — cerca de 1–2 vezes por semana — e externalização cognitiva”; mensagem de sustentação: “Você executa. O sistema sustenta a execução.”; headline canônica: “O app de produtividade feito para você não usar.” Posicionamento resultante (DOC-C07-009): “Sistema de execução para profissionais multiprojeto que transforma contexto em próxima ação e preserva o estado do trabalho — neurocompatível por design, mas não apresentado como tratamento de TDAH.” ECO-07 Estúdio: “Traga o problema. Em 7 dias, saia com um sistema funcionando”; “Menos tempo organizando a operação. Mais clareza sobre o que fazer, onde encontrar e como repetir.” ECO-02/ECO-03: “Transformar Risco Cognitivo em uma categoria editorial e investigável antes de conectá-la ao produto.” ECO-05 Infoprodutos: “Livros digitais funcionam como produto de entrada e aplicação. Curso funciona como aplicação guiada.” ECO-04 Físicos: “Neurobook = planejar e registrar → Timer = executar → Organização = reduzir decisões cotidianas → Office Kit = sistema integrado.”",fato_interno,alta,"TRANSVERSAL — respostas distintas em ECO-01, ECO-07, ECO-02/03, ECO-05 e ECO-04","['DOC-C05-001', 'DOC-C07-009', 'DOC-C09-004', 'DOC-C09-006', 'DOC-C09-016', 'DOC-C09-008', 'DOC-C02-039']","DOC-C05-001 (Benefício e Promessa principal; Mensagem final): “O usuário executa. O sistema sustenta a execução.”; Headline 01: “O app de produtividade feito para você não usar.”; Descrição 01: “Executar é um sistema de gestão de projetos orientado à execução que reduz configuração, organização manual e decisões repetitivas para mostrar o que pode ser feito agora.” | DOC-C07-009 (campo positioning): “Sistema de execução para profissionais multiprojeto que transforma contexto em próxima ação e preserva o estado do trabalho.” | DOC-C09-004: “O aplicativo de produtividade feito para você usar menos. O sistema sustenta a estrutura; o usuário executa.” | DOC-C09-006: “Traga o problema. Em 7 dias, saia com um sistema funcionando.” | DOC-C02-039 (BMC, Proposta de valor): “Transformar Risco Cognitivo em uma categoria editorial e investigável antes de conectá-la ao produto.”",,
1,NEGÓCIO & GTM,1.4,Canais de aquisição,formulario_original,preenchido,"Arquitetura de canais em dois níveis (DOC-C05-001). OWNED: 01 executar.com/Blog (fonte canônica do conteúdo); 02 Biblioteca Executar (indexação permanente, guias, referências, e-books); 03 e-mail/newsletter; 04 comunidade futura. DISTRIBUIÇÃO (plataformas alugadas/terceiras): YouTube (explicação + demonstração + descoberta), Instagram (carrossel, visual, Reels), TikTok (descoberta, vídeos curtos), LinkedIn (gestão, operações, risco, conteúdo técnico). Regra de produção “uma fonte, vários outputs”: questão editorial → pesquisa → artigo canônico → diagrama/infográfico → vídeo principal → 2–4 shorts → carrossel → post LinkedIn → newsletter → entrada na Biblioteca → trecho no e-book/curso → CTA de aprofundamento. Canais comerciais: Hotmart (infoprodutos, com cadastro e checkout), afiliados (Barkley ×2 e Ana Beatriz Barbosa Silva), loja própria, formulário visual do Estúdio. Aquisição do ECO-07: “Conteúdo → Showroom → Formulário visual → Encontro → Projeto”. Operacionalmente, os canais estão registrados como 10 chamadas CH-001…CH-010 com destino e estado (DOC-C08-004) e 10 rotas RT-001…RT-010 (DOC-C08-006). Para ECO-02, o canal inaugural é o pacote de 18 ativos em 14 dias: 1 artigo, 1 newsletter, 1 vídeo principal, 3 vídeos curtos, 2 carrosséis, 6 posts curtos, 1 infográfico, 1 checklist, 1 lead magnet e 1 landing page.",decisao,alta,TRANSVERSAL,"['DOC-C05-001', 'DOC-C08-004', 'DOC-C08-006', 'DOC-C06-001', 'DOC-C02-043', 'DOC-C09-015', 'DOC-C09-018', 'DOC-C12-004']","DOC-C05-001 (Arquitetura das plataformas): “OWNED 01 executar.com / Blog — Fonte canônica do conteúdo; OWNED 02 Biblioteca Executar; OWNED 03 E-mail / newsletter; DISTRIBUIÇÃO 01 YouTube; 02 Instagram; 03 TikTok; 04 LinkedIn”; e “Instagram, YouTube, TikTok e LinkedIn não são plataformas proprietárias; são plataformas alugadas/terceiras.” | DOC-C05-001 (SSOT Studio, item 13 Aquisição): “Conteúdo → Showroom → Formulário visual → Encontro → Projeto.” | DOC-C08-004: “CH-001 Experimentar Executar → página do aplicativo”, “CH-003 Explorar a biblioteca”, “CH-007 Ver o livro → ligação de afiliado”, “CH-010 Entrar na lista → formulário”. | DOC-C02-043: “Pacote: 1 artigo, 1 newsletter, 1 vídeo principal, 3 vídeos curtos, 2 carrosséis, 6 posts curtos, 1 infográfico, 1 checklist, 1 lead magnet e 1 landing page — 18 ativos principais.” | DOC-C09-018: “Núcleo inicial — Russell A. Barkley · Vencendo o TDAH Adulto; Russell A. Barkley · Executive Functions; Ana Beatriz Barbosa Silva · Mentes Inquietas.”","Nenhum documento define mídia paga, verba por canal ou meta de tráfego. A aquisição paga só aparece implicitamente, como pressuposto do guardrail de CAC em DOC-C07-009.","Decidir se haverá mídia paga no lançamento de 07/09 e, em caso afirmativo, registrar acquisition_source e campaign_id por canal — eventos já especificados na telemetria de DOC-C07-009."
1,NEGÓCIO & GTM,1.5,Métrica North Star,formulario_original,parcial,"Nenhum documento nomeia uma “métrica North Star”. O candidato canônico mais próximo é o VALUE_EVENT-01 da telemetria do EXECUTAR: “Projeto real → contexto interpretado → próxima ação válida → ação executada → conclusão/evidência registrada” — o evento que define valor entregue e que governa ativação, PMF e coortes W1/W2/W4/W8. Os endpoints de eficácia funcional associados são time_to_next_action, resume_latency, completion_rate, context_reconstruction, execution_cycles_per_week e abandonment_rate. Para ECO-02, a meta declarada é de output, não de outcome: “publicar 18 ativos em 14 dias, com artigo dentro de 1.200–1.800 palavras”, capturando baseline de visualizações, retenção, salvamentos, inscrições e downloads — com a regra explícita de “não estabelecer ainda metas arbitrárias de seguidores ou leads sem baseline”. O BMC do ECO-02 registra literalmente “% geral não informado” e “métricas não informadas permanecem desconhecidas”.",inferencia,media,ECO-01 (candidato VALUE_EVENT-01) e ECO-02 (meta de output),"['DOC-C07-009', 'DOC-C02-043', 'DOC-C02-039', 'DOC-C16-003', 'DOC-C16-006']","DOC-C07-009 (objeto telemetry): “value_event_01: Projeto real → contexto interpretado → próxima ação válida → ação executada → conclusão/evidência registrada”; “functional_efficacy_endpoints: time_to_next_action, resume_latency, completion_rate, context_reconstruction, execution_cycles_per_week, abandonment_rate.” | DOC-C02-043 (Objetivo SMART da primeira fase): “Mensurável: publicar 18 ativos em 14 dias, com artigo dentro de 1.200–1.800 palavras”; “Não estabelecer ainda metas arbitrárias de seguidores ou leads sem baseline.” | DOC-C02-039 (rodapé do BMC): “métricas não informadas permanecem desconhecidas”. | DOC-C16-003 (MED-001) lista apenas o que verificar (chamada→destino, formulário→recebimento, download→arquivo), sem métrica-alvo.","Falta a eleição formal de UMA métrica North Star com definição, fórmula, janela de medição e meta. O artefato estaria num documento de métricas/analytics ou num ADR de produto — inexistente no corpus.",Eleger “VALUE_EVENT-01 concluídos por usuário ativo por semana” como NSM candidata e fixar baseline após o piloto de ≥40 usuários previsto em PMF-01.
1,NEGÓCIO & GTM,1.6,Métricas guardrail,formulario_original,preenchido,"Guardrails existentes, por domínio. (a) Econômico — CAC-01: TARGET-CAC provisório ≤ R$70 e alerta/limite de aproximadamente R$95 até existir CAC observado. (b) Regulatório e de comunicação — CLAIM-01, PROD-14 e PROD-15: claims proibidos hoje são “Reduz sintomas de TDAH”, “Melhora função executiva clinicamente”, “Trata TDAH”, “Diagnostica ou identifica TDAH”, “Substitui terapia, tratamento ou medicação” e “Cientificamente comprovado para TDAH”; e é bloqueado qualquer uso do produto como diagnóstico, substituição profissional ou inferência clínica. (c) Gate de PMF — PMF-01: só declarar PMF com convergência de VALUE_EVENT-01, coortes W1/W2/W4/W8, pagamento/renovação e pesquisa de dependência, com heurística n ≥ 40 qualificados e > 40% “muito desapontados”. (d) Operacional de lançamento: “Broken links = 0”, “backlog crítico = 0”, “não existe entrega crítica aguardando produção”. (e) Epistemológico — invariantes: “original ≠ extração ≠ evidência ≠ decisão · candidate ≠ verified · benchmark ≠ dado do EXECUTAR · modelo econômico ≠ unit economics observado · literatura externa ≠ eficácia do EXECUTAR · similaridade ≠ suporte factual”.",decisao,alta,TRANSVERSAL — econômico e de claims em ECO-01; operacional no GTM 07/09,"['DOC-C07-009', 'DOC-C06-001', 'DOC-C08-007']","DOC-C07-009 (CAC-01): “Usar TARGET-CAC provisório ≤ R$70 e alerta/limite de aproximadamente R$95 até existir CAC observado.” | DOC-C07-009 (claims_policy.prohibited_now): lista literal dos seis claims proibidos. | DOC-C07-009 (Invariantes): “modelo econômico ≠ unit economics observado”. | DOC-C06-001 (D11, DoD do dia): “Broken links = 0; fluxo de conversão testado”; D12: “Tudo agendado; backlog crítico = 0; GTM READY.” | DOC-C08-007: “não existe entrega crítica aguardando produção.”","Não há guardrail técnico de produto nesta área (taxa de erro, latência, custo de IA por usuário). O evento variable_ai_cost é coletado na especificação de telemetria, mas sem limiar definido.","Definir limite para variable_ai_cost por usuário ativo, já que o evento está previsto mas não tem teto declarado."
1,NEGÓCIO & GTM,1.7,CAC (custo de aquisição),formulario_original,parcial,"Não existe CAC observado. Existe apenas guardrail modelado: TARGET-CAC provisório ≤ R$70 (alvo conservador) e alerta/limite de aproximadamente R$95 (cenário-base); e CAC máximo por cenário para manter LTV:CAC = 3 em R$141 (otimista), R$94 (base) e R$71 (conservador). O próprio documento fixa a regra de cálculo e proíbe substitutos: “CAC observado = gasto atribuível / novos clientes pagantes. CPI, CPM, clique e cadastro não substituem CAC.” Classe epistêmica E (inferido), status DECIDED_AS_GUARDRAIL, confiança MÉDIA na fonte.",hipotese,media,ECO-01,['DOC-C07-009'],"DOC-C07-009 (bloco “CAC guardrail”): “≤ R$70 alvo conservador; ≈ R$95 alerta / cenário-base. CAC observado = gasto atribuível / novos clientes pagantes. CPI, CPM, clique e cadastro não substituem CAC.” | Achado CAC-HYP-01 (epistemic_class E, status MODEL_GUARDRAIL): “Guardrail econômico; CAC observado só existe após campanha e aquisição pagante.” | Gap registrado: {gap: CAC, status: “MODELO + GUARDRAIL”, closed: false, remaining: “Campanhas e clientes pagantes.”}","Falta o CAC real. Não há, em nenhum dos 214 arquivos, campanha paga executada, cliente pagante registrado ou tabela de gasto por canal. O dado nasceria dos eventos acquisition_source, campaign_id e paid_at do warehouse de telemetria — já especificados, ainda não instrumentados.",Não preencher com número. Instrumentar acquisition_source/campaign_id/paid_at antes da primeira campanha paga e só então calcular CAC observado.
1,NEGÓCIO & GTM,1.8,LTV (valor do tempo de vida),formulario_original,parcial,"Não existe LTV observado. Existe apenas LTV modelado sob premissas declaradas como classe E: ARPU mensal de R$49,90 e margem bruta assumida de 85%; cenário otimista com churn mensal de 10% → LTV R$424; cenário base com churn de 15% → LTV R$282,77; cenário conservador com churn de 20% → LTV R$212. O documento instrui explicitamente: “Não persistir como LTV factual. Substituir por cohorts LTV_30/60/90/180/365.”",hipotese,media,ECO-01,['DOC-C07-009'],"DOC-C07-009 (unit_economics, status MODEL_HYPOTHESIS_NOT_OBSERVED): “arpu_monthly_brl: 49.9; gross_margin_assumption: 0.85; scenarios: optimistic churn 0.10 → ltv 424; base churn 0.15 → ltv 282.77; conservative churn 0.20 → ltv 212.” | Achado LTV-HYP-01: “LTV_MODEL_BASE ≈ R$282,77 sob ARPU R$49,90, margem bruta 85% e churn mensal 15%. […] Não persistir como LTV factual.” | Gap registrado: {gap: LTV, status: “MODELO HIPOTÉTICO”, closed: false, remaining: “Retenção, churn e margem reais.”}","Falta LTV factual: não há coorte real, churn observado nem pagamento registrado. O dado nasceria das janelas LTV_30/60/90/180/365 do warehouse de telemetria, especificadas mas não populadas.",Não preencher com número. Rodar as coortes LTV_30/60/90 após o primeiro piloto pagante e substituir o modelo.
1,NEGÓCIO & GTM,1.9,Margem por unidade/usuário,formulario_original,parcial,"Há regra de margem, não margem observada, e ela difere por unidade. ECO-01 App: margem bruta de 85% é premissa (classe E) do modelo econômico, não medição. ECO-05 Infoprodutos: a margem deve nascer da cadeia “valor percebido → benchmark → posicionamento → taxa do canal → CAC → margem de contribuição”, com taxa Hotmart projetada por prudência em 9,9% + R$2,49 (a Central de Ajuda ainda mostrava 9,9% + R$1,00, com mudança anunciada para 21/09/2026). ECO-04 Produtos físicos: a margem deve nascer do custo variável total Y, nunca do preço de fornecedor — a planilha de landed cost do Timer 45 parte de R$39 de fornecedor e mantém “preencher” em frete internacional, impostos/importação, frete/localização, embalagem Executar e etiqueta/manual/QR; fórmulas registradas: “Margem bruta = (Preço − Custo) ÷ Preço” e “Markup = Preço ÷ Custo”. Política de margem declarada como a testar, sem percentual fixado: “Eu não fixaria ainda ‘o Timer precisa dar 60%’ ou ‘o Neurobook precisa dar 50%’”, com estratégia diferenciada por classe (Timer = produto comparável, margem disciplinada; Neurobook = proprietário, maior liberdade de preço; Office Kit = bundle, maximizar margem absoluta e ticket, não percentual).",decisao,media,"TRANSVERSAL — ECO-01 (premissa 85%), ECO-05 (taxa de canal), ECO-04 (landed cost incompleto)","['DOC-C07-009', 'DOC-C05-001', 'DOC-C09-008']","DOC-C07-009: “gross_margin_assumption: 0.85”, dentro de unit_economics com status MODEL_HYPOTHESIS_NOT_OBSERVED. | DOC-C05-001 (Hotmart e margem): “a página comercial da Hotmart já anuncia 9,9% + R$2,49. Eu faria suas projeções usando 9,9% + R$2,49, por prudência”; e “valor percebido → benchmark → posicionamento → taxa do canal → CAC → margem de contribuição.” | DOC-C05-001 (Unit Economics — produtos físicos): tabela do Timer 45 com “Preço do fornecedor R$39” e cinco linhas “preencher”; “O preço deve nascer de Y, e não dos R$39.” | DOC-C09-008: “Timer 45 | ferramenta funcional | validar custo e preço”.",Faltam os custos posto (landed cost) reais dos SKUs físicos — as linhas estão literalmente marcadas “preencher” — e falta a margem observada por usuário do app (custo de infraestrutura + variable_ai_cost por usuário ativo). Estaria numa planilha de custo de produto e num relatório de custo por usuário.,"Cotar frete, impostos e embalagem dos quatro SKUs para fechar o Y do Timer 45 antes de publicar preço na loja."
1,NEGÓCIO & GTM,1.10,Ponto de equilíbrio (breakeven),formulario_original,lacuna,,fato_interno,alta,TRANSVERSAL,"['DOC-C04-001', 'DOC-C07-009', 'DOC-C05-001']","Busca literal por “break-even”, “breakeven” e “ponto de equilíbrio” em todos os 214 arquivos retorna um único hit: DOC-C04-001 (Cronograma.md), que é o cronograma do próprio formulário e apenas lista o nome do campo — “1.10 | Ponto de equilíbrio (breakeven) | formulário”. DOC-C07-009, o documento econômico mais avançado do corpus, cobre preço, CAC, LTV e PMF, mas não calcula breakeven, e classifica todo o bloco de unit economics como MODEL_HYPOTHESIS_NOT_OBSERVED. DOC-C05-001 discute margem, markup e capital de giro, mas nunca ponto de equilíbrio.","Falta qualquer cálculo de ponto de equilíbrio: não há custo fixo mensal declarado (infraestrutura, ferramentas, Hotmart, domínios), não há meta de assinantes pagantes e não há receita atual registrada. O dado estaria numa planilha de custos fixos + modelo de receita, ou num P&L simplificado — inexistentes no corpus.","Levantar o custo fixo mensal real (Vercel, Neon, Clerk, Sentry, domínios, Hotmart) e dividi-lo pela margem de contribuição por assinante para obter o número mínimo de assinantes; não estimar antes desse levantamento."
