domain_id,domain_name,field_range,derived_sheet,canonical_folder_id,canonical_path,related_card_ids,status
1,NEGÓCIO & GTM,1.1-1.12,02_Visao_Geral,FS-MVP-002,500-saas-mvp/01-product,STR-013;STR-014;BUS-030;BUS-031;GTM-090,pending
2,PRODUTO,2.1-2.12,02_Visao_Geral,FS-MVP-002,500-saas-mvp/01-product,OFF-040;REQ-052,pending
3,ARQUITETURA & FULL STACK,3.1-3.10,03_Arquitetura_Tecnica,FS-MVP-004,500-saas-mvp/03-engineering,ARC-060;ARC-063;ARC-068,pending
4,IMPLEMENTAÇÃO,4.1-4.8,03_Arquitetura_Tecnica,FS-MVP-004,500-saas-mvp/03-engineering,REQ-051;REQ-052;VAL-081,pending
5,OPERAÇÃO (DEPLOY & ROLLBACK),5.1-5.6,04_Operacao_Seguranca,FS-MVP-004,500-saas-mvp/03-engineering,DEL-075;GTM-093,pending
6,GOVERNANÇA & SEGURANÇA,6.1-6.6,04_Operacao_Seguranca,FS-MVP-005,500-saas-mvp/04-reference,REQ-057;GOV-002;GOV-004,pending
7,DOCUMENTAÇÃO FUNDACIONAL,7.1-7.5,04_Operacao_Seguranca,FS-MVP-005,500-saas-mvp/04-reference,GOV-002;ARC-068,pending
8,GESTÃO DE PROJETOS & PMBOK,8.1-8.5,05_Gestao_Projetos,FS-MVP-005,500-saas-mvp/04-reference,GOV-001;DEL-070,pending
9,PLANEJAMENTO ESTRATÉGICO TÁTICO OPERACIONAL,9.1-9.4,05_Gestao_Projetos,FS-MVP-005,500-saas-mvp/04-reference,STR-015;DEL-071,pending
10,ROADMAP CRONOGRAMA CICLOS E BACKLOG,10.1-10.4,06_Roadmap_Editorial,FS-MVP-002,500-saas-mvp/01-product,DEL-071,pending
11,EDITORIAL CAMPANHAS E CONTEÚDO,11.1-11.4,06_Roadmap_Editorial,FS-EDT-001,30-editorial-marketing,OFF-044;GTM-090,pending
12,STAKEHOLDERS,12.1-12.3,07_Conhecimento_Stakeholders,FS-MVP-005,500-saas-mvp/04-reference,GOV-003,pending
13,RUNBOOKS SOPS E ROTINAS,13.1-13.3,07_Conhecimento_Stakeholders,FS-OPS-001,70-operacao-governanca/10-sops,OPS-100,pending
14,PESQUISA DADOS E CONHECIMENTO,14.1-14.3,07_Conhecimento_Stakeholders,FS-MVP-005,500-saas-mvp/04-reference,MKT-022,pending
15,SKILLS PLUGINS E FERRAMENTAS,15.1-15.3,08_Skills_Plataformas,FS-TEC-006,80-tecnologia-plataformas/05-gpt,none,pending
16,PLATAFORMAS CONTAS E IDENTIFICADORES,16.1-16.3,08_Skills_Plataformas,FS-SEC-001,98-private-pointers,none,pending
17,PROMPT ENGINEERING & COMANDOS,17.1-17.3,08_Skills_Plataformas,FS-TEC-021,80-tecnologia-plataformas/05-gpt/01-prompts,none,pending
