lacuna_id,origem,unidade,alvo,descricao,pesquisa_necessaria,prioridade
GA-5ef3eb6171,strategic_analysis,ECO-01,SA-01/environmental,Nao ha analise PESTEL formal por unidade no acervo; os fatores existem dispersos em fontes de evidencia e decisao.,"Consolidar um PESTEL de uma pagina por unidade a partir das fontes ja catalogadas, sem pesquisa nova.",low
GA-c49ee82e38,strategic_analysis,ECO-01,SA-02/new_entrants,Nao ha no acervo qualquer analise de barreiras a entrada para a categoria do app.,"Definir explicitamente qual e o ativo defensavel (base de evidencias governada, motor de rota ou dados de execucao) antes do lancamento comercial.",low
GA-f64ebedfd8,strategic_analysis,ECO-07,SA-02/rivalry,Nao ha mapeamento de concorrentes para o Estudio no acervo lido.,Levantar 5 comparaveis de consultoria de automacao no Brasil antes de fixar o preco de R$700 como diferencial.,medium
GA-ac6a83fa9f,strategic_analysis,ECO-01,SA-03B/tam_methodology,Nao ha base nem metodologia identificavel para produzir um TAM defensavel do EXECUTAR neste acervo.,"Para fechar: fixar universo (ex.: conta propria com uso de ferramenta digital), taxa de adocao observada e ARPU validado por PRICE-01; so entao calcular.",high
GA-7e26ede5c3,strategic_analysis,ECO-02,SA-03B/tam,Nao existe dimensionamento de mercado especifico para a unidade editorial.,"Se o blog for monetizar, dimensionar por RPM x sessoes projetadas apos a campanha inaugural, nao antes.",low
GA-2d1937278e,strategic_analysis,ECO-07,SA-03B/tam,Nao existe TAM/SAM/SOM para os servicos; ha apenas preco e capacidade.,"Para servico com capacidade travada em 1 cliente/semana, o dimensionamento relevante e fila de demanda qualificada, nao TAM.",medium
GA-905f4f84be,strategic_analysis,ECO-07,SA-04A/segment_definition,Nao ha definicao de segmento para os servicos alem de tres familias nao especificadas no acervo lido.,Recuperar ou redigir a especificacao das tres familias de servico antes de publicar PAG-002-SERVICOS.,high
GA-df40a00475,strategic_analysis,ECO-07,SA-04B/icp,"O ICP do Estudio esta implicito no formulario de entrada, nao declarado.",Derivar o ICP do Estudio a partir das respostas das primeiras semanas e registra-lo antes de escalar a oferta.,medium
GA-cb6ebc8d2c,strategic_analysis,ECO-01,SA-06B/cost_structure,"O custo variavel de IA e reconhecido como evento a medir, mas nao ha nenhum valor estimado no acervo.","Estimar custo variavel por usuario ativo antes de fixar R$49,90; com margem premissa de 85%, o custo de IA e a variavel que pode derrubar o modelo.",high
GA-5b2efc5d49,strategic_analysis,ECO-02,SA-06B/economics,Nao existe modelo economico proprio para a unidade editorial.,Aceitar o blog como investimento de categoria na fase 1 e definir explicitamente quando ele passa a ter meta economica.,low
GA-5d275f04c5,strategic_analysis,ECO-01,SA-10A/market_attractiveness,"Nao ha base para pontuar atratividade de mercado do app: nenhum dos insumos de tamanho, crescimento ou rentabilidade esta verificado.","Adiar qualquer scoring formal de atratividade; a decisao de continuar deve se apoiar em PMF-01, nao em tamanho de mercado.",medium
GA-d055fdd83f,strategic_analysis,ECO-01,SA-12/mrd_artifact,"Nao existe um MRD consolidado; os requisitos estao dispersos entre decisoes, matriz e visao de oferta.","Montar um MRD de uma pagina consolidando as 22 decisoes + 11 decisoes de design; o conteudo ja existe, falta o artefato.",medium
GA-0f246d83ae,strategic_analysis,ECO-03,SA-13/gtm,"Nao ha plano de go-to-market para o framework como produto intelectual, apenas uma escada de maturidade.","Definir veiculo e prazo do white paper; sem data, a escada de maturidade fica indefinidamente na etapa 1.",medium
GA-9f29a13043,formulario,ECO-01 (candidato VALUE_EVENT-01) e ECO-02 (meta de output),1.5 Métrica North Star,"Falta a eleição formal de UMA métrica North Star com definição, fórmula, janela de medição e meta. O artefato estaria num documento de métricas/analytics ou num ADR de produto — inexistente no corpus.",Eleger “VALUE_EVENT-01 concluídos por usuário ativo por semana” como NSM candidata e fixar baseline após o piloto de ≥40 usuários previsto em PMF-01.,
GA-8f65223004,formulario,ECO-01,1.7 CAC (custo de aquisição),"Falta o CAC real. Não há, em nenhum dos 214 arquivos, campanha paga executada, cliente pagante registrado ou tabela de gasto por canal. O dado nasceria dos eventos acquisition_source, campaign_id e paid_at do warehouse de telemetria — já especificados, ainda não instrumentados.",Não preencher com número. Instrumentar acquisition_source/campaign_id/paid_at antes da primeira campanha paga e só então calcular CAC observado.,
GA-a97b042d7b,formulario,ECO-01,1.8 LTV (valor do tempo de vida),"Falta LTV factual: não há coorte real, churn observado nem pagamento registrado. O dado nasceria das janelas LTV_30/60/90/180/365 do warehouse de telemetria, especificadas mas não populadas.",Não preencher com número. Rodar as coortes LTV_30/60/90 após o primeiro piloto pagante e substituir o modelo.,
GA-eca06fdd26,formulario,"TRANSVERSAL — ECO-01 (premissa 85%), ECO-05 (taxa de canal), ECO-04 (landed cost incompleto)",1.9 Margem por unidade/usuário,Faltam os custos posto (landed cost) reais dos SKUs físicos — as linhas estão literalmente marcadas “preencher” — e falta a margem observada por usuário do app (custo de infraestrutura + variable_ai_cost por usuário ativo). Estaria numa planilha de custo de produto e num relatório de custo por usuário.,"Cotar frete, impostos e embalagem dos quatro SKUs para fechar o Y do Timer 45 antes de publicar preço na loja.",
GA-aa672d37ec,formulario,TRANSVERSAL,1.10 Ponto de equilíbrio (breakeven),"Falta qualquer cálculo de ponto de equilíbrio: não há custo fixo mensal declarado (infraestrutura, ferramentas, Hotmart, domínios), não há meta de assinantes pagantes e não há receita atual registrada. O dado estaria numa planilha de custos fixos + modelo de receita, ou num P&L simplificado — inexistentes no corpus.","Levantar o custo fixo mensal real (Vercel, Neon, Clerk, Sentry, domínios, Hotmart) e dividi-lo pela margem de contribuição por assinante para obter o número mínimo de assinantes; não estimar antes desse levantamento.",
GA-b096c134b6,formulario,"ECO-01 (e ECO-02, site/CMS)",1.11 Teto de gasto de infraestrutura,"Falta o teto de gasto: nenhum documento traz fatura, plano contratado (Hobby/Pro), limite de billing ou alerta de custo de qualquer fornecedor. O dado estaria nos consoles/faturas de Vercel, Neon, Clerk e Sentry, ou num documento de orçamento de infraestrutura.",Exportar o custo mensal atual de cada fornecedor e definir um teto explícito com alerta de billing antes do lançamento de 07/09.,
GA-d72c6e9cf2,formulario,ECO-01,1.12 Gatilhos de upgrade de infra,"Falta o gatilho: não existe métrica-limiar (usuários ativos, requisições, GB de banco, custo mensal, p95 de latência) associada a uma ação de upgrade. O dado estaria num runbook de capacidade/escalabilidade ou num ADR de infraestrutura.","Definir dois ou três limiares objetivos (custo mensal, conexões de banco, p95) que disparem a migração de local-first para persistência remota/Aurora, e registrá-los como ADR.",
GA-9f0e787f95,formulario,TRANSVERSAL,1.15 Cadência financeira recorrente,"Falta a rotina financeira recorrente: quem fecha, com que periodicidade, contra qual orçamento e em qual artefato. O dado estaria num P&L/planilha financeira mensal ou num runbook de fechamento — inexistentes no corpus.","Instituir um fechamento mensal simples (receita por canal, custo fixo, custo variável de IA/infra, margem) assim que houver a primeira venda; hoje não há receita registrada que justifique análise de variância.",
GA-16ffcff2eb,formulario,ECO-07 (pipeline definido); forecast ausente em todas as unidades,1.16 Pipeline e forecast de vendas,"Falta o forecast: não há número esperado de leads, taxa de conversão por estágio, ticket médio projetado nem receita prevista por mês. E não há pipeline algum para ECO-01 (assinaturas) nem ECO-05 (infoprodutos). O dado estaria num CRM ou planilha de forecast — inexistentes no corpus.","Instrumentar o FORM-001 para contar leads por estágio a partir de 07/09 e só então projetar conversão, dado que a capacidade está travada em 1 cliente por semana.",
