schema_version,registro_id,documento_id,classificacao_id,classificacao_nome,tipo_documental_id,tipo_documental,macro_origem,caminho_relativo,pasta_pai,nome_arquivo,nome_base,extensao,mime_type,tamanho_bytes,sha256,duplicidade_grupo,duplicado_de,titulo_detectado,resumo_executivo,conteudo_central,uso_posterior,leitura_status,status_registro,status_preenchimento,fonte_pacote,data_registro,observacoes
1.0,REG-0001,DOC-C07-001,C07,Dados e evidências,T14,Medição e validação,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /EXECUTAR_Editorial_Quality_Assurance_Fluent.html,DADOS E EVIDENCIAS ,EXECUTAR_Editorial_Quality_Assurance_Fluent.html,EXECUTAR_Editorial_Quality_Assurance_Fluent,html,text/html,30031,0660399c86e28e4cbf5c614890e1aa2e83a78d4ef6e65dc20842d38a5444e1c9,,,EXECUTAR · Editorial Quality Assurance · Fluent,"Documento classificado como medição e validação que define critérios de medição, conferência ou aceite, com foco em EXECUTAR · Editorial Quality Assurance · Fluent | Quality Gate Editorial | FÓRMULA | DECISÃO | RESPONSABILIDADE.",EXECUTAR · Editorial Quality Assurance · Fluent | Quality Gate Editorial | FÓRMULA | DECISÃO | RESPONSABILIDADE,"Usar para identificar compromissos, marcos, critérios de conclusão e lacunas operacionais.",texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0002,DOC-C07-002,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE_PAISAGEM.html,DADOS E EVIDENCIAS ,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE_PAISAGEM.html,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE_PAISAGEM,html,text/html,11607,351a25806207ca6cc1ae5b6aaea7868f5c464949de3faa14517fd9c9656dd92c,,,Gestão de Projetos × TDAH · One Page,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em Gestão de Projetos × TDAH · One Page | Gestão de Projetos × TDAH.",Gestão de Projetos × TDAH · One Page | Gestão de Projetos × TDAH,Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0003,DOC-C07-003,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/MATRIZ_GESTAO_PROJETOS_X_TDAH_EXTRAIDA.csv,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE,MATRIZ_GESTAO_PROJETOS_X_TDAH_EXTRAIDA.csv,MATRIZ_GESTAO_PROJETOS_X_TDAH_EXTRAIDA,csv,text/csv,9477,673b29d38db687f118967269b4e302b2a8ef1c0405dafa6e91bbf2a946b2bb9c,,,MATRIZ GESTAO PROJETOS X TDAH EXTRAIDA,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em MATRIZ GESTAO PROJETOS X TDAH EXTRAIDA | Colunas: ID, Funções fundamentais de gestão de projetos, Funções executivas de uma área de gestão d….","MATRIZ GESTAO PROJETOS X TDAH EXTRAIDA | Colunas: ID, Funções fundamentais de gestão de projetos, Funções executivas de uma área de gestão d…",Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,11 registros tabulares detectados
1.0,REG-0004,DOC-C07-004,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE.xlsx,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE.xlsx,MATRIZ_GESTAO_PROJETOS_X_TDAH_ONE_PAGE,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14084,23da316fefcce43baf9aaf78e89fde56d8d672a4439fe25676fc5101d7551ee9,,,MATRIZ GESTAO PROJETOS X TDAH ONE PAGE,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em MATRIZ GESTAO PROJETOS X TDAH ONE PAGE | Aba: ONE_PAGE | Aba: MATRIZ_COMPLETA | Aba: SCHEMA | Aba: NOTAS_FONTE.",MATRIZ GESTAO PROJETOS X TDAH ONE PAGE | Aba: ONE_PAGE | Aba: MATRIZ_COMPLETA | Aba: SCHEMA | Aba: NOTAS_FONTE,Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,metadados_e_amostra_extraidos,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,4 abas detectadas
1.0,REG-0005,DOC-C07-005,C07,Dados e evidências,T08,Schema e contrato,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/SCHEMA_MATRIZ_GESTAO_TDAH_V1.csv,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE,SCHEMA_MATRIZ_GESTAO_TDAH_V1.csv,SCHEMA_MATRIZ_GESTAO_TDAH_V1,csv,text/csv,435,ddcad0fab15742a2c220ff149c248fd5fc8c749e02dc64cddf2c0cf86b67f086,,,SCHEMA MATRIZ GESTAO TDAH V1,"Documento classificado como schema e contrato que define campos, regras e restrições de um contrato de dados, com foco em SCHEMA MATRIZ GESTAO TDAH V1 | Colunas: schema_version, row_id, funcoes_fundamentais_gestao_projetos, funcoes_executivas_area_gest….","SCHEMA MATRIZ GESTAO TDAH V1 | Colunas: schema_version, row_id, funcoes_fundamentais_gestao_projetos, funcoes_executivas_area_gest…",Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,0 registros tabulares detectados
1.0,REG-0006,DOC-C07-006,C07,Dados e evidências,T08,Schema e contrato,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE/SCHEMA_MATRIZ_GESTAO_TDAH_V1.yaml,DADOS E EVIDENCIAS /MATRIZ_GESTAO_TDAH_PACOTE,SCHEMA_MATRIZ_GESTAO_TDAH_V1.yaml,SCHEMA_MATRIZ_GESTAO_TDAH_V1,yaml,application/yaml,884,f67a8618855fdd6f3a7f98c91d73008f2f3a7d9ac5a6b474db201e7131b21a67,,,SCHEMA MATRIZ GESTAO TDAH V1,"Documento classificado como schema e contrato que define campos, regras e restrições de um contrato de dados, com foco em SCHEMA MATRIZ GESTAO TDAH V1 | Campos: schema, id, schema_version, origem_documental, estado_epistemologico, estado_documental, fi….","SCHEMA MATRIZ GESTAO TDAH V1 | Campos: schema, id, schema_version, origem_documental, estado_epistemologico, estado_documental, fi…",Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0007,DOC-C07-007,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /base_evidencias_tdah_adulto_WAREHOUSE.json,DADOS E EVIDENCIAS ,base_evidencias_tdah_adulto_WAREHOUSE.json,base_evidencias_tdah_adulto_WAREHOUSE,json,application/json,327715,b1aedb13dff7e58689ecd98e87b9f476396fc4b30f9c77cfd16fc62d616be33c,,,base evidencias tdah adulto WAREHOUSE,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em base evidencias tdah adulto WAREHOUSE | Campos: format, file_name, sha256, size_bytes, columns, row_count, records, evidencia_id, tipo_regi….","base evidencias tdah adulto WAREHOUSE | Campos: format, file_name, sha256, size_bytes, columns, row_count, records, evidencia_id, tipo_regi…",Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0008,DOC-C07-008,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /dashboard_sintese_tdah_694_V2.html,DADOS E EVIDENCIAS ,dashboard_sintese_tdah_694_V2.html,dashboard_sintese_tdah_694_V2,html,text/html,500451,0e89b7c6214df403741da758b1cf6a01b2b23464def6fbecc191d5f3322f72f2,,,Dashboard Síntese TDAH × 694 — V2,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em Dashboard Síntese TDAH × 694 — V2 | TDAH Adulto × Evidências × Framework 694 | Composição atual da base | Leitura correta | Cobertura do framework 694 — análise legada.",Dashboard Síntese TDAH × 694 — V2 | TDAH Adulto × Evidências × Framework 694 | Composição atual da base | Leitura correta | Cobertura do framework 694 — análise legada,Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0009,DOC-C07-009,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /dashboard_sintese_tdah_694_V3_FINAL_LIGHT__REC-001102.html,DADOS E EVIDENCIAS ,dashboard_sintese_tdah_694_V3_FINAL_LIGHT__REC-001102.html,dashboard_sintese_tdah_694_V3_FINAL_LIGHT__REC-001102,html,text/html,545278,c03c2fb217ddd13714a59dfa828ac26018429e68376c1d4d9b0f438c2f2005ee,,,EXECUTAR · Síntese de Evidências V3 Final,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em EXECUTAR · Síntese de Evidências V3 Final | Evidências, mercado e decisões do EXECUTAR. | Posicionamento resultante | Sete lacunas | Composição da base.","EXECUTAR · Síntese de Evidências V3 Final | Evidências, mercado e decisões do EXECUTAR. | Posicionamento resultante | Sete lacunas | Composição da base",Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,
1.0,REG-0010,DOC-C07-010,C07,Dados e evidências,T06,Evidência e pesquisa,DADOS E EVIDENCIAS,DADOS E EVIDENCIAS /✅ ADM-26-21-08.docx,DADOS E EVIDENCIAS ,✅ ADM-26-21-08.docx,✅ ADM-26-21-08,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,937692,28b0c00a8242eb0a07db9607e85f37297a4e55e880f71683cc3a1e29a078df89,,,A estrutura,"Documento classificado como evidência e pesquisa que reúne fontes, evidências ou insumos de pesquisa, com foco em A estrutura | ┌───────────────────────────┐ | │ FUNÇÃO DE GESTÃO │ | ├───────────────────────────┤ | │ Definir objetivo │.",A estrutura | ┌───────────────────────────┐ | │ FUNÇÃO DE GESTÃO │ | ├───────────────────────────┤ | │ Definir objetivo │,Usar como fonte ou contrato na etapa posterior de extração e preenchimento rastreável.,texto_extraido,catalogado,nao_iniciado,DOCUMENTOS 2.zip,2026-08-31,255 parágrafos e 4 tabelas detectados
