card_id,phase_id,phase_name,artifact,authority,required,applies_if,depends_on,canonical_folder_id,canonical_path,basis,status
GOV-001,P00_GOVERNANCE,Governança e controle,Ecosystem Charter,custom_master,True,,,FS-OPS-001,70-operacao-governanca,S01;S03,pending
GOV-002,P00_GOVERNANCE,Governança e controle,Document and Configuration Governance,professional_practice,True,,GOV-001,FS-OPS-001,70-operacao-governanca,S01;S02;S03;S05,pending
GOV-003,P00_GOVERNANCE,Governança e controle,Stakeholder and Decision Rights Register,professional_standard,True,,GOV-001,FS-OPS-001,70-operacao-governanca,S03;S05,pending
GOV-004,P00_GOVERNANCE,Governança e controle,Compliance and Legal Obligations Register,legal_regulatory,True,,GOV-001;GOV-003,FS-OPS-001,70-operacao-governanca,S21;S25,pending
GOV-005,P00_GOVERNANCE,Governança e controle,Risk Assumption Issue and Constraint Register,professional_standard,True,,GOV-001;GOV-003,FS-OPS-001,70-operacao-governanca,S06;S03;S05,pending
STR-010,P01_STRATEGY,Estratégia e caso de negócio,Current State Assessment,professional_standard,True,,GOV-001;GOV-003,FS-BUS-001,10-business,S03;S04,pending
STR-011,P01_STRATEGY,Estratégia e caso de negócio,Problem and Opportunity Definition,professional_standard,True,,STR-010,FS-BUS-001,10-business,S03,pending
STR-012,P01_STRATEGY,Estratégia e caso de negócio,Future State and Strategic Outcomes,professional_standard,True,,STR-011,FS-BUS-001,10-business,S03;S05,pending
STR-013,P01_STRATEGY,Estratégia e caso de negócio,Business Case,industry_and_professional,True,,STR-010;STR-011;STR-012;GOV-005,FS-BUS-001,10-business,S03;S05,pending
STR-014,P01_STRATEGY,Estratégia e caso de negócio,BRD,industry_artifact,True,,STR-012;STR-013,FS-BUS-001,10-business,S03;S02;S26,pending
STR-015,P01_STRATEGY,Estratégia e caso de negócio,Strategy and KPI Map,industry_and_professional,True,,STR-012;STR-014,FS-BUS-001,10-business,S03;S05,pending
MKT-020,P02_MARKET_CUSTOMER,Mercado e cliente,Market Research Dossier,industry_practice,True,,STR-011;STR-012,FS-BUS-001,10-business,S26,pending
MKT-021,P02_MARKET_CUSTOMER,Mercado e cliente,MRD,industry_artifact,True,,MKT-020,FS-BUS-001,10-business,S26,pending
MKT-022,P02_MARKET_CUSTOMER,Mercado e cliente,Customer and User Research,industry_and_hcd,True,,MKT-020;GOV-003,FS-BUS-001,10-business,S10;S03;S26,pending
MKT-023,P02_MARKET_CUSTOMER,Mercado e cliente,ICP Personas and Jobs-to-be-Done,industry_practice,True,,MKT-021;MKT-022,FS-BUS-001,10-business,S10;S26,pending
MKT-024,P02_MARKET_CUSTOMER,Mercado e cliente,Competitive Landscape and Positioning,industry_practice,True,,MKT-020;MKT-021;MKT-023,FS-BUS-001,10-business,S26,pending
BUS-030,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Business Model,industry_practice,True,,STR-013;MKT-021;MKT-023;MKT-024,FS-BUS-003,10-business/02-modelo-negocio,S26,pending
BUS-031,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Financial Model and Funding Plan,professional_practice,True,,BUS-030;STR-013,FS-BUS-003,10-business/02-modelo-negocio,S05;S26,pending
BUS-032,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Pricing and Packaging Strategy,industry_practice,True,,BUS-030;BUS-031;MKT-024,FS-BUS-003,10-business/02-modelo-negocio,S26,pending
BUS-033,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Brand and Messaging Strategy,industry_practice,True,,MKT-023;MKT-024;BUS-030,FS-BUS-003,10-business/02-modelo-negocio,S26;S25,pending
BUS-034,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Portfolio and Offer Architecture,custom_integration,True,,BUS-030;BUS-032;BUS-033,FS-BUS-003,10-business/02-modelo-negocio,S01;S26,pending
BUS-035,P03_BUSINESS_PORTFOLIO,Modelo de negócio e portfólio,Ecosystem Capability Value Stream and Dependency Map,custom_integration,True,,STR-014;BUS-034,FS-BUS-003,10-business/02-modelo-negocio,S03;S04;S01,pending
OFF-040,P04_OFFER_DEFINITION,Definição das ofertas,PRD Application,industry_artifact,conditional,software_application_exists,BUS-034;MKT-023;STR-014,FS-PRD-001,20-produtos,S02;S03;S26,pending
OFF-041,P04_OFFER_DEFINITION,Definição das ofertas,PRD Digital Products,industry_artifact,conditional,digital_products_exist,BUS-034;MKT-023;STR-014,FS-PRD-001,20-produtos,S02;S26,pending
OFF-042,P04_OFFER_DEFINITION,Definição das ofertas,Physical Product Requirements,systems_engineering_artifact,conditional,physical_products_exist,BUS-034;MKT-023;STR-014,FS-PHY-001,20-produtos/20-produtos-fisicos,S01;S02;S07,pending
OFF-043,P04_OFFER_DEFINITION,Definição das ofertas,Service Requirements and Service Blueprint,industry_and_standard,conditional,services_exist,BUS-034;MKT-023;STR-014,FS-COM-001,40-comercial-servicos,S01;S18;S07,pending
OFF-044,P04_OFFER_DEFINITION,Definição das ofertas,Editorial and Content Strategy,industry_practice,conditional,editorial_operation_exists,BUS-033;BUS-034;MKT-023,FS-EDT-001,30-editorial-marketing,S26;S25,pending
OFF-045,P04_OFFER_DEFINITION,Definição das ofertas,Commerce Channel and Customer Lifecycle Requirements,custom_integration,True,,BUS-032;BUS-034;BUS-035,FS-COM-001,40-comercial-servicos,S01;S03;S25;S26,pending
