object_id,folder_id,area,path,titulo,tipo,status,tamanho_bytes,ultima_modificacao,commit
ARCH-MOC-001,FS-ARC-001,Archive,99-archive/99-archive.md,99 · Archive,markdown,ativo,247,2026-08-26,aff5a9f
ASSET-MOC-001,FS-AST-001,Assets Compartilhados,90-assets-compartilhados/90-assets-compartilhados.md,90 · Assets Compartilhados,markdown,ativo,265,2026-08-26,aff5a9f
BUS-MOC-001,FS-BUS-001,Business,10-business/10-business.md,10 · Business,markdown,ativo,271,2026-08-26,aff5a9f
COM-MOC-001,FS-COM-001,Comercial Serviços,40-comercial-servicos/40-comercial-servicos.md,40 · Comercial Serviços,markdown,ativo,260,2026-08-26,aff5a9f
DATA-REG-001,FS-DAT-006,Dados,60-dados/40-canonical/REGISTRO_DOCUMENTAL_MECE_V1.csv,REGISTRO_DOCUMENTAL_MECE_V1.csv,csv,ativo,195904,2026-08-31,0e673e0
DATA-SAI-001,FS-DAT-006,Dados,60-dados/40-canonical/STRATEGIC_INSIGHTS_V1.csv,STRATEGIC_INSIGHTS_V1.csv,csv,ativo,163363,2026-08-31,8b008e6
DATA-MOC-001,FS-DAT-001,Dados,60-dados/60-dados.md,60 · Dados,markdown,ativo,247,2026-08-26,aff5a9f
DATA-EST-001,FS-DAT-008,Dados,60-dados/60-exports/ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml,ESTADO_CONSOLIDADO_ECOSSISTEMA_EXECUTAR.yaml,yaml,ativo,1319348,2026-08-31,409f864
DAT-READ-001,FS-DAT-008,Dados,60-dados/60-exports/README.md,Workbook PMBOK 8 · Ecossistema EXECUTAR,markdown,ativo,3020,2026-08-31,722db73
DAT-WEE-001,FS-DAT-008,Dados,60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.json,WORKBOOK_ECOSSISTEMA_EXECUTAR.json,json,ativo,1202658,2026-08-31,722db73
DAT-WEE-002,FS-DAT-008,Dados,60-dados/60-exports/WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml,WORKBOOK_ECOSSISTEMA_EXECUTAR.yaml,yaml,ativo,1054794,2026-08-31,722db73
DAT-WF-001,FS-DAT-008,Dados,60-dados/60-exports/WORKBOOK_FORMULARIO.csv,WORKBOOK_FORMULARIO.csv,csv,ativo,84504,2026-08-31,722db73
DAT-WPEE-001,FS-DAT-008,Dados,60-dados/60-exports/WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx,WORKBOOK_PMBOK8_ECOSSISTEMA_EXECUTAR.xlsx,planilha,ativo,316475,2026-08-31,7849408
DAT-OER-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-54_EVIDENCE_REGISTER.csv,OUT-54_EVIDENCE_REGISTER.csv,csv,ativo,372557,2026-08-31,8b008e6
DAT-OHR-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-55_HYPOTHESIS_REGISTER.csv,OUT-55_HYPOTHESIS_REGISTER.csv,csv,ativo,5552,2026-08-31,8b008e6
DAT-ODL-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-56_DECISION_LOG.csv,OUT-56_DECISION_LOG.csv,csv,ativo,17872,2026-08-31,8b008e6
DAT-ORR-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-57_RISK_REGISTER.csv,OUT-57_RISK_REGISTER.csv,csv,ativo,111111,2026-08-31,8b008e6
DAT-OGR-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-58_GAP_REGISTER.csv,OUT-58_GAP_REGISTER.csv,csv,ativo,24675,2026-08-31,8b008e6
DAT-OSR-001,FS-DAT-010,Dados,60-dados/90-evidence/OUT-59_SOURCE_REGISTER.csv,OUT-59_SOURCE_REGISTER.csv,csv,ativo,26096,2026-08-31,8b008e6
OPS-DROP-001,FS-DROP-001,Dropzone,00-dropzone/00-dropzone.md,00 · Dropzone,markdown,ativo,311,2026-08-26,aff5a9f
MKT-MOC-001,FS-EDT-001,Editorial Marketing,30-editorial-marketing/30-editorial-marketing.md,30 · Editorial Marketing,markdown,ativo,246,2026-08-26,aff5a9f
DATA-INDEX-001,FS-IDX-001,Master Index,01-master-index/01-master-index.md,01 · Master Index,markdown,ativo,285,2026-08-26,aff5a9f
SCH-ECM-001,FS-IDX-002,Master Index,01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml,ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml,yaml,ativo,56888,2026-08-30,1268c06
SCH-SAAS-001,FS-IDX-002,Master Index,01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json,EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json,json,ativo,67055,2026-08-30,1268c06
SCH-FUS-001,FS-IDX-002,Master Index,01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml,FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml,yaml,ativo,136497,2026-08-31,1f7afe3
IDX-READ-001,FS-IDX-002,Master Index,01-master-index/01-schemas/README.md,Schemas,markdown,ativo,797,2026-08-30,1268c06
TAX-ECM-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv,ECOSYSTEM_CARDS_REGISTER.csv,csv,ativo,15531,2026-08-30,1268c06
IDX-FI-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/FOLDER_IDS.md,Folder IDs,markdown,ativo,383,2026-08-26,4462643
TAX-MAP-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv,MAPA_DOC_ARQUIVO.csv,csv,ativo,37260,2026-08-31,0e673e0
IDX-MI-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/MOC_IDS.csv,MOC_IDS.csv,csv,ativo,2652,2026-08-31,409f864
TAX-ROT-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv,ROTEAMENTO_DOCUMENTAL_MECE.csv,csv,ativo,40873,2026-08-31,0e673e0
TAX-SAAS-001,FS-IDX-003,Master Index,01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv,SAAS_ENTRYPOINT_DOMAIN_MAP.csv,csv,ativo,2172,2026-08-30,1268c06
IDX-RELA-001,FS-IDX-004,Master Index,01-master-index/03-relations/RELATIONS.md,Relations,markdown,ativo,2160,2026-08-30,1268c06
IDX-MIGR-001,FS-IDX-005,Master Index,01-master-index/04-reports/MIGRATION_2026-08-26.md,Migração · 2026-08-26,markdown,ativo,946,2026-08-26,aff5a9f
IDX-READ-002,FS-IDX-005,Master Index,01-master-index/04-reports/README.md,Reports,markdown,ativo,102,2026-08-26,4462643
IDX-CC-001,FS-IDX-001,Master Index,01-master-index/CENTRAL_CONTROL.csv,CENTRAL_CONTROL.csv,csv,ativo,6833,2026-08-26,4462643
GOV-PLAN-001,FS-OPS-002,Operação Governança,70-operacao-governanca/01-planos-acao/PLANO_LANCAMENTO_ECOSSISTEMA.md,Plano de Lançamento do Ecossistema,markdown,ativo,5227,2026-08-30,1268c06
GOV-MOC-001,FS-OPS-001,Operação Governança,70-operacao-governanca/70-operacao-governanca.md,70 · Operação Governança,markdown,ativo,285,2026-08-26,aff5a9f
PORT-MOC-001,FS-POR-001,Portfólio Carreira,50-portfolio-carreira/50-portfolio-carreira.md,50 · Portfólio Carreira,markdown,ativo,255,2026-08-26,aff5a9f
PRIV-MOC-001,FS-SEC-001,Private Pointers,98-private-pointers/98-private-pointers.md,98 · Private Pointers,markdown,ativo,258,2026-08-26,aff5a9f
PROD-MOC-001,FS-PRD-001,Produtos,20-produtos/20-produtos.md,20 · Produtos,markdown,ativo,280,2026-08-26,aff5a9f
DOC-GITI-001,FS-ROOT-001,Raiz do Repositório,.gitignore,.gitignore,config,ativo,68,2026-08-31,65a6a49
DOC-GITM-001,FS-ROOT-001,Raiz do Repositório,.gitmodules,.gitmodules,config,ativo,253,2026-08-26,469bd29
SYS-VAULT-001,FS-ROOT-001,Raiz do Repositório,HOME.md,ECOSSISTEMA · 15-08 · FILESYSTEM,markdown,ativo,2939,2026-08-26,aff5a9f
DOC-READ-001,FS-ROOT-001,Raiz do Repositório,README.md,ECOSSISTEMA 15-08 · Docs,markdown,ativo,1250,2026-08-26,0f93261
DOC-TF-001,FS-ROOT-001,Raiz do Repositório,_TEMPLATE_FOLDER.md,{{N}} · {{NOME}},markdown,ativo,476,2026-08-26,aff5a9f
MVP-FEAT-001,FS-MVP-002,SaaS MVP,500-saas-mvp/01-product/FEATURES.md,Features,markdown,ativo,433,2026-08-27,e14109c
MVP-PB-001,FS-MVP-002,SaaS MVP,500-saas-mvp/01-product/PRODUCT_BRIEF.md,Product Brief,markdown,ativo,108,2026-08-26,0f93261
MVP-REQU-001,FS-MVP-002,SaaS MVP,500-saas-mvp/01-product/REQUIREMENTS.md,Requirements,markdown,ativo,91,2026-08-26,0f93261
